Português	Tupi Antigo
cabeça (arrancada) de peixe	pirá akangûera
Morro de morte natural	Te'õ suí amanõ
A morte é a ameaça daqueles que se casam verdadeiramente	Te'õ a'e mendasareté momboîsabamo
Vim de minha casa	Aîur xe roka suí
Mas tu brilhas mais que ele, iluminando-nos todos com tua virtude	Nde-te ereberá i xosé, oré resapébo pá nde rekokatu pupé
Já se juntaram a eles muitos moços bebedores de cauim	Onheŷnhang umã sesé kunumĩetá kagûara
Asperge também a gente as sepulturas com água benta?	Osepyî bépe asé tyby 'y-karaíba pupé?
Confessar-se a cada ano	Seixu îabi'õ nhemombe'u
Imitei-o fingidamente	Asa'ang-a'ub
Sapecar-te-ei, assar-te-ei	Oroapek, oroesyne
Não porque eu fui veio ele	Na ixé sóreme ruã turi
Estavas realmente dormindo?	Ereké-pipó eîupa?
Comemoramos seu nascimento	I 'aragûera îaîmoeté
Lourenço tostado atou minhas mãos, queimando-me, oprimindo-me	Rorẽ-ka'ẽ xe popûá, xe rapŷabo, xe apypyka
Receando por suas almas	O 'anga resé oîeangûabo
Morrendo nós	Oromanõmo
Acredita, meu padrinho, hão de te apresar hoje	Erobîá, xe rubangab, ta nde moembiá kori
Seus amigos, os franceses, pólvora trouxeram em vão	Saûsupara, aîuruîuba, mokaba ogûeru tenhẽ
Neste vale, lugar de choro	Ikó ybytygûaîa îasegûaba pupé
Com o bafo de sua boca sopra-nos o rosto	O îuru timbora pupé asé robá peîuû
Depois disso, hoje vamos quebrar as cabeças dos reis	A'e ré kori îasó tubixaba akanga kábo
Rompeu-se teu coração, por amor a ele	Obok nde nhy'ã, saûsuba resé
guardião dos tapuias	tapuîa rarõsara
instrumento de aquentar o fogo, abano, abanador	tatá pegûaba
Que é mais penoso aos que estão ali?	Mba'epe sasyeté a'epe tekoara supé?
Desenfiei-o	Asysymbo'ir
Pagaste já o objeto de teu furto?	Eresepyme'eng ygûãpe nde mondasagûera?
Sendo mãe de Deus é que ela é a causa verdadeira da bondade dele	Tupã syramo oîkóbo é i angaturambabetéramo sekóû
Ah, quem me dera comer veneno para que eu morresse	-A'u temõ mba'eaíba mã, a'emo nhẽ xe re'õû
dor (em sentido genérico)	mba'e rasy
Ele é o anjo que encomenda o enforcamento	Karaibebé a'e, moroîubyka puaîtara
O diabo te agasta, de ti tendo medo	Anhanga nde moabaîté, nde suí osykyîébo
Fui ao caminho dele	Asapependûar
Eu sou de voz alta, eu levanto a voz	Xe nhe'engapûan
além do rio	y robaî
Mandou trucidar as crianças habitantes da aldeia de Belém e também as habitantes das vizinhanças dela	Taba Belém pora pitanga i amundaba pora abé apiti-ukari
Que espécie de mulher é Santa Maria?	Marãba'e kunhãpe Santa Maria?
Levaram-no, com suas ataduras, para Pilatos, o governador	Pilatos ybyrarerekoara supé i popûasaba resebé serasóû
Queimemo-lo!	T'ixapy! ou Ixapy!
Quando cumprirás isso que dizes?	Erimba'epe aîpó nde 'îaba ereîmopóne?
É usual os bons homens tratarem bem as pessoas	Sekoab apŷabangaturama i porerekó-katu
Não ia para o céu outrora a alma de ninguém?	Abá 'angûera amõ soe'ymi ybakype erimba'e?
Seu companheiro de guerras também é Bastião, o flechado	I maranirũ abé Bastião u'uborûera
Atravessei rios	A'y-asab
Ah, meu pai!	Xe rubĩ mã!
Que confesses a transgressão da palavra de Deus, a persistência nisso também	Tupã nhe'enga abŷagûera t'ereîmombe'u, apore'ymagûera béno
Amando os homens, nós nos preocupamos com eles	Apŷaba raûsupa nhẽ oré putupá sesé
Por isso mesmo quiseram igualar-se todos a seu criador?	Nd'e'i te'e serã oîemoîoîá-pá-potá o monhangara resé?
Dei coisas para outra pessoa que não a meu pai	Aîme'eng mba'e xe ruba taté nhẽ
Ah, beliscar-me-á hoje!	Xe pixã korine, mã!
Vem, coisa fedorenta, coisa nojenta, borá, maritacaca, sanguessuga, tamarutaca!	Eîori, mba'enem, mba'e-poxy, mborá, miaratakaka, sebo'i, tamarutaka!
O dia está muito escuro (como que para chover)	I pytũ-pytun 'ara
E a aproximação das dores de parto de uma grávida não é causa de se ter medo também?	A'epe muruapora membyrasy kakara, na nheangûaba bé ruã?
o que está no pote, o conteúdo do pote	kamusi-pora
ajuntamento de cana-de-açúcar, canavial	u'ubae'ẽndyba
Que ouçam aquilo que tu dizes	T'osendu aîpó nde 'é
o cauim que é preparado para meu recebimento	kaûĩ xe renotara
Nós nos combatemos uns aos outros	Oroîogûerekó
Nado	A'ytab
Defeco	Apoti
Dei-o em troca	Sekobîaramo aîme'eng
Fiz fogo	Aîatapy
Deve ter ido	Osó ipó re'ĩ
1) quê? que dizes? (como o que não entendeu bem o que outrem disse ou respondendo ao que chamou)	marã-pipó?
Tu não me detestas	Na xe reroŷrõî îepé
Rapei-lhe a barba	Asendybá-apin
Quem não reconheceria ter comido algo bom?	Abámo mba'e-katu 'uagûera n'oîkuabi xûé?
o que tem corpo, o que é corpóreo	seteba'e
ele (es, a, as) mesmo (os, a, as)	Ixé aé - Eu mesmo A'e aé
És uma criancinha	Pitangĩnamo ereîkó
Fiquei-o apodando	Aseró-serok
Livrou-a do pecado primeiro em que Adão nos pôs	I pysyrõû tekoangaîpabypy Adão îandé nongaba suí
metal vivo, isto é, o mercúrio	itá-ekobé
Eis que procuramos Jesus de Nazaré	Iesus Nazareno ikó orosekar
Eu me limpo das fezes	Aîeîkûaru'umbok
Sou leve	Abebuîkatu
Tu te agitaste, querendo fazer-nos viver	Nde ereîemosusuni, oré moingobé-potá
É, totalmente, uma comida de morte	Te'õ remi'u pabẽ
Eu tenho impigem	Xe titing
Devem amar-se muito os que se casaram um com o outro?	Oîoaûsu-katupe amẽ oîopopysykyba'epûera?
Também não pode aquele excomungado miserável ouvir a missa	Nd'e'ikatu béî aîpó i pe'apyra'uba missa renduba resé
Eu estou muito empanturrado	Xe rebykatãgûasu
Veio atrás de mim	Xe pytaî turi
Tua alma entregando para o diabo, ele se compraz muito	Nde 'anga me'enga anhanga pé, oangabó-katu
Dizem que o homem fez assim antes	Emonã îé abá rekóû raẽ
Empurra-o para seu fogo	Oîmoanhã satápe
nariz achatado	tĩmbeba
Hei de me confessar ainda hoje, antes de me surpreender a morte	T'anhemombe'une kori bé, te'õ xe resapy'a e'ymebé
Adiantei-me	Akûabĩ
Eu lhe mordo a cabeça	Aî'asu'u
Conta todos os teus pecados, sendo forte	Eîmombe'u pakatu nde angaîpagûera nde ratãngaturamo
No meio do caminho, meninos assaltaram-me mesquinhamente	Pé ku'ape, kunumĩ pu'ama'ubi xe ri
Que nós sejamos corajosos	T'oré pyatã
Eis que aqui ele está deitado	Kó tuî kó
Arranquei as penas de sua asa	Aîpepó-'ok
Eu sou peçonhento	Xe ranhasy
empobrecendo os índios	apŷaba mondyabó
o que ameaça, ameaçador	momboîtara
Vós mentis	Pe îuraragûaî
Quando chegou o dia oito, cortaram seu prepúcio	Oito 'ara sykeme, i 'apira mondoki
Despejei-o	Asekoabok
Eu sou uma jibóia, eu sou um socó, eu sou o grande tamoio Aimbirê	Xe îyboîa, xe sokó, xe tamuîusu Aîmbiré
Por que não queres chorar nem mesmo um pouquinho?	Marãpe nd'ereîase'o-mirĩngatutenhẽ-motari?
Por aí as mulheres casadas ficavas pervertendo	Kûepe kunhã-mendarûera ereîmomoxy-moxy
Resgatar os cativos	I momiaûsubypyra renosema
Terão bernes e terão vermes os corpos miseráveis dos homens pecadores e das mulheres pecadoras	I ur, sasok abá-angaîpaba, kunhã-angaîpaba reté-a'ubane
o fruto que Deus proíbe	ybá Tupã remipysyrõ
Por isso mesmo repreendeu a seu companheiro, desagravando-o	Nd'e'i te'e o apixara akakapa, sepyka
cavidade dela	inhanhã
A terceira (virtude) dele é a satisfação dos cônjuges	I momosapysaba mendara moîekosupaba
Vamos, devagar, para fazer o assalto, para queimar a terra dos malditos	T'îasó, mbegûé, îapu'ama, t'ixapy moxy retama
O anjo revelou-se a ela como um rapaz muito belo	Karaibebé îepîakukari i xupé kunumĩgûasu-porãngaturamo nhẽ
Tu deste à luz por tua vontade?	Nde membyrápe erimba'e nde remimotarybo?
Desarmaste as armadilhas de teu próximo?	Ereîmopyĩpe nde rapixara mundé?
Dentro dessa igreja Maria cresceu	Kó tupãoka pupé Maria kakuabi
a vida de sua alma	o 'anga rekobesaba
Indo, eu me escafedo	Xe rebinhỹ gûixóbo
cocho de porcos	taîasu remi'uru
Vendo os pagãos a virtude dos cristãos	Cristãos rekokatu repîaka é ipó imongaraibypyre'yma
Coisa muito boa é a confissão, que Deus fez como modo de aplacá-lo neste mundo	Mba'e-eté anhẽ nhemombe'u Tupã remimonhangûera ikó 'ara pupé o monhyrõsabamo
Sempre os malditos para nós dizem maldades, mui perversamente	Memẽ nhẽ moxy îandébo marã e'i-memûã-memûã
Tenho-o no meu pescoço	Xe îuri arekó
Levou sua filha Maria quando se completaram três anos	O membyra Maria rerasóû mosapyr ro'y sykeme
pena de tucano para dança (isto é, pena que os índios levavam comumente quando dançavam	tukana tá-poraseîa
Esse fez aquele céu que vemos	Kó a'e ybaka îandé remiepîakûama oîmonhang
Depois disso, os descendentes de Noé perderam-se?	A'e roîré bépe Noé remiminõetá roparamo?
Vereis também, futuramente, minha vinda sobre as nuvens	Pesepîak irã ybytinga 'arybo xe rura béne
o miolo dele	i apytera
homem ignorante	abá-tekokuabe'yma
Os ex-maridos, esses, malditos, não se repreendem	Mendûera kó re'a nd'e'i oîeakakapa
O que vê o furto de alguém, sem se importar	Abá mondarõ osepîakĩba'e
Não me mexo	N'amyĩ
Eu sou muito barulhento	Xe pugûasu
Certamente, eis que percebendo isso, deixei ontem minha casa	Aûîeté, kó anga andupa, aseîá kûesé xe roka
Brigarão, cuspirão um no outro?	Omarãmonhangype, oîoendyne?
"A gente diz ""anjos"" para eles por irem eles por sua vontade para longe, como que voando, muito rapidamente"	"Korite'ĩ-aíbeté obebébo berameĩ kûepe o emimotarybo i xóreme ""karaibebé "" asé i 'éû i xupé"
Que me livre Deus das lembranças ruins	Ta xe pysyrõ Tupã ma'enduasabaíba suí
Mata (ou matam)	Oîuká
São um monte os seus antigos vícios	I aty sekopoxypûera
Descendo com seus choros, indo com seus gritos Nem por isso eles acabarão	O îase'o rerogûeîypa, ogûasẽ-gûasema rerasóbo Ndaeroîaî xûé i pabine
Tu fizeste agressão com palavras a alguém?	Nde nhe'ẽporoîukaípe abá supé?
E preocupai-vos hoje em dia com as futuras penas de vosso agir assim?	A'epe emonã pe rekopûera repyrama resé koyr-y bé penhemosako'i
Eu não me altero	Na xe amarani
Inchei-me muito as bochechas	Anhemoatypygûasu
Bendita és tu entre as mulheres	I mombe'ukatupyramo ereîkó kunhã suí
ao te trespassar o vento	ybytu nde rasapápe
Teço roupas	Aaó-pyasab
Como recompensa também de seu arrependimento delas (isto é, das coisas más)	I moasyagûera repyramono
Que não me atraia a lei antiga de meus avós	Ta xe momotar umẽ xe ramỹîa rekopûera
O rosto da criança está alegre para eles	Pitanga robá sesãî i xupé
Quer muito a sua futura santificação	Oîpotá-katu o nhemongaraibagûama
Fi-la engravidar	Aîmomburu'a
prender tapuias	tapuîa rara
Segura-o por enquanto	Eîpysyk ranhẽ
O que se preocupa com Deus	Tupã resé o nheangerekosara
Ah, quem me dera o tivesse matado!	Aîuká me'ĩ mã!
ao vir a lua para visitá-la	o supa îasy rureme
Que disseram os judeus, acusando-o?	Marã e'ipe îudeus i xupé, i mombegûabo?
Não estou acostumado	N'abîari
Eu sou muito gordo	Xe kyragûasu
Eis que era costume, então, batizar	Ã tekó a'ereme moreroka
mirra, poção de polpa	mirra, mosanga to'o suí
o que é frito, a fritura	i mosyryrĩmbyra
Obedeces a eles quando te fazem viver no vício?	Eresapîápe tekopoxy resé nde moingóreme?
Tu mesmo és causa de teu dano	Endé aé ereîekûá
Junto água	Atykûar
Peido	Apynõ
Eu estava sobrecarregado	Xe posakar
Em seu ventre Deus recebeu seu próprio corpo	Sygépe o eterama Tupã tari
Veio das alturas	Ybaté suí oú
Apenas não me matou o terror ao nome da mãe de Deus	Sãî xe îukae'ymi Tupã sy rera abaîté
Estiveste no roçado para plantar roça	Ereîkó kopira resé kó tyma
mais de vinte	vinte sosé
Matemos meu marido	T'îaîuká xe mena
homem membrudo	abá-tubixaba
O que cria mentiras por causa de alguém	Abá resé mo'ema oîmonhangyba'e
Aproximando-se da morte, suou bastante	Te'õ rerobyka, syaî-tekatu
Mudo-me (para longe)	Aîeakasó
A vida de minha alma, que eu perdi, fará devolver a mim	Xe 'anga rekobepûera xe remimokanhẽûera oîmoîebyrukar ixébone
Como estas são vossas casas?	Anga îápe pe roka?
Alimentando-o um pouco em teu seio	I poîa-mirĩ nde kama pupé
ao entardecer	karukĩneme
Bem aos olhos de Deus essas vossas ações são contadas	Tupã resápe-katu kó pe rekó rekóû i paparypyramo
Ah, se eu tivesse ido para o céu!	Asó me'ĩmo ybakype mã!
Que estes em quem mandas lancem fora toda a maldade	Kó nde remimbûaîetá t'oîtyk pá tekopoxy
Ele vos fortalece	A'e pe mopyatã
Os anos passaram muitas vezes, causa de atraso da ida do homem para o céu?	Okûabetápe erimba'e seîxu, ybakype abá só moabaîpaba?
Não queiras nem um pouquinho que eu vá para o fogo	Eîpotá-mirĩ umẽ tatápe xe soaûama
o Senhor Deus	Pa'i Tupã
Santa Maria é o seu nome	"""Santa Maria"" sera"
Destampa tua caixa para que eu veja tuas coisas	Eîaso'îabok nde karamemûã t'asepîak nde ma'e
Todos eles voltaram para trás	Opá i îeakypûereroîebyri
Se o que tem relações sexuais com uma solteira ou por ela se atrai transgride muito a palavra de Deus, tanto mais o que perverte uma casada ou o que se atrai por ela	Mene'yma resé oîkoba'e abiã koîpó sesé onhemomotaryba'e oîabyeté Tupã nhe'enga, memetipó mendara momoxysara koîpó sesé nhemomotasara
Jesus fez-te subir	Îesu nde rupiri
Torrei-o	Asa'embé
Tomai este meu sangue como vosso resgate	Peîar kó niã xe rugûy pe repyramo
Deste veneno para uma mulher grávida?	Ereîme'engype mosangygûaba kunhãmuru'abora supé?
Está diante de mim	E'am xe reseî
Fi-lo apresador de mim (isto é, deixei-me vencer por ele)	Aîmoembiaryîar ahẽ xe îoesé
Destruiremos a aldeia, como de costume	Îamombá taba îandune
Importuna-me bem, irritando-me muitíssimo, aquela lei nova	Xe moaîu-marangatu, xe moŷrõ-etekatûabo, aîpó tekó-pysasu
Eu tinha o pescoço caído (isto é, por um desmaio Também se diz do figo derrubado, por estar muito maduro)	Xe aîurar
Não desiste nosso inimigo de sempre nos tentar	N'i apori oré sumarã îepi nhẽ oré ra'anga
Mostrando-lhe certa árvore que estava no meio do seu jardim	Amõ 'yba gûemityma pyterype o'amba'e kuabe'enga
A bondade de sua vida em mim se fortaleça	Sekopûera angaturama xe resé t'oîeratã
Ele mesmo certamente me guarda	A'e aé ipó xe rerekó
Pronuncia-o bem	Esa'ãngatu
Eu, em vez disso, quero presas nas pessoas de alguns bêbados	Xe-te, xe rembiá-potá sabeypora amõ resé
grão de farinha	U'i-esakytã
Assim que pôs sua alma em seu corpo, Deus a preservou	I 'anga seté pupé i mondepa bé, Tupã i pe'aû
Não por me amar	Na xe raûsupeî
Arruinei a todos, fazendo-os roubar também	Aîmomoxy pabenhẽ, i momondarõmo bé
Todos eles voltaram-se para trás	Opá i îeakypûereroîebyri
a que deseja a virtude	Tekokatu potasara
Uma coisa amarga com vinagre misturaram	Mba'e-py'aûpîara kaûĩaîasy resé i monani
Eu estou liso	Xe sym
Todos os bens de meus avós joguei fora	Opá xe ramỹîa ma'epûera aîtyk
pescador (com rede)	îeporakasara
coisa ganha com a espada	itangapema pora
Ele é muito bom	I katu-pyryb
Obedecei ao padre, vosso mestre	Pesapîá abaré, pe mbo'esara
Aproxima-se o nascimento de S João	Okakar S João 'aragûera
Ficaria aumentando meus miseráveis pecados vivendo nesta terra	Aîrumõ-rumõmo xe rekoangaîpagûera'uba ikó yby pupé gûitekóbomo
Assim hoje procederei	Emonã kori aîkóne
Confundindo as aldeias desde a Galiléia	Taba moapaîugûá-îugûábo Galilea suí-katu
São Sebastião destruiu os tamoios, os valentes	São Sebastião tamũîa, kyre'ymbagûera, omombab erimba'e
dois homens	mokõî apŷaba
convés da embarcação	ygara rokabytera
Tem o homem, geralmente, muitas palavras em vão quando se aproxima de sua morte	I nhe'engetá tenhẽ nakamẽ abá ogûe'õ kakareme
Suponho eu que ele tenha ido, de fato	"""Osó ipó"" a'ea'ub niã ixé"
Devolve o objeto de seu furto	Ogûeroîebyr o mondasagûera
Este pajé ruim tem espírito protetor	Supixûar ikó paîé-angaíba
Deus é um só, de fato, sendo santíssimo, sendo poderoso	Tupã oîepé nhõ nhẽ gûekó-karaibetéramo, abaetéramo
Meu filho que mama	Xe membykambu
Queimar-vos-ão as chamas de fogo!	Pe rapy tatá-endyne!
Eu estou enlameado	Xe ru'um
Vais definitivamente	Eresó nhẽ peũî
Aí são muitas as mulheres que se estão oferecendo para Deus	A'epe se'yî kunhã Tupã supé onheme'engyba'e oîkóbo
Eles mentem, um de cara para o outro	Semo'ẽ, oîobaúpa
Remo a canoa	Aygá-pukuî
Não dou ouvidos, não me importo	Na xe apysáî
o que está preso em ferros, o que está peado	i pukusamba'e
Vamos, devagar, para queimar a terra dos malditos	T'îasó, mbegûé t'ixapy moxy retama
Mas não foi nosso pai que fez nosso corpo?	N'asé ruba ruã-tepe asé reté oîmonhang?
A água benta seja o meio de viver de minha alma	Y i mongaraibypyra t'oîkó xe 'anga rekobesabamo
minha ausência	xe roŷpyre'yma
Como assim? Diante de uma madeira a gente faz reverência?	Marã? Ybyrá supé nhẽpe asé îerokyû?
Aí é que está! Eu estou surpreso por tua causa	Aîpó nhẽ! Xe putupab nhẽ nde ri
Descreve tua terra para mim	Emombe'u nde retama ixébe
Aqui os homens estão, na verdade	Ké abá rekóû anhẽ
Flechou-me em lugar vital	Xe aépe xe ybõû
Ficaste suspeitando sem motivo de tua esposa por causa de alguém?	Ereîmondá-mondá tenhẽpe nde remirekó abá resé?
Retribuí o que ele escreveu (isto é, escrevi-lhe como ele fez a mim)	Aîpoepyk semikûatiara
Não sabes que Deus lançou neste mundo também tudo o que a gente sofre costumeiramente?	Nd'ereîkuabype Tupã opakatu ikó 'ara pupé îandé remimborará-tyba abé seîtykagûera?
casa que seria, o que seria casa	okambûera
Ela tem pecados variadíssimos, estando a tremer	Î angaîpá-pará-pará, oîemoryry-ryryîa
Recebemo-nos uns aos outros	Oroîopopysyk
Da mesma forma, a morte também entrou como componente deste mundo	Te'õ abé reîkéû ikó 'ara poramo oîá
Eu tenho a base fixa	Xe ypy-ten
Tu mentiste acerca de teu próximo, difamando-o?	Nde remo'emype nde rapixara resé i moerapûanaípa?
Moderei-os	Anhonen
Fogo em que se elimina a dívida de nossos pecados	Tatá asé angaîpaba repy mondykaba
Vou para junto de meu pai	Asó xe ruba pyri
Não são sem consequências os teus pecados	Na sa'ubi nde rekopoxy
Esbofeteei suas nádegas	Sebira aîpetek
na ponta da rede, no punho da rede	api anhãî
tipo de corte de cabelo dos índios (etim - cabelo de morcego)	andyrá-'aba
Enruguei-me	Anhynhyng
o que socorre gente	morepenhandara
Urinei	Akaruk
Deveria ser ele, primeiro	Ahẽ ranhẽ temonemo
Por que mais a gente reconhece o dia dos santos?	Mba'erama ri bépe asé santos 'ara kuabi?
Agora comemoramos o dia em que mandou eliminar as crianças que completavam dois anos	Pitanga mokõî ro'y omoaûîeba'e mombab-ukaragûera 'ara îaîmoeté ko'yr
os daqui	keygûara
Eis que eu amo vossas almas, modificando os costumes antigos	Xe ikó asaûsu pe 'anga tekopûera rekoaboka
Troquei-lhe uma criação	Asekobîarõ seîmbaba i xupé
Deveria eu por bem ensiná-lo	Aîmbo'e be'ĩmo mã
Deus-Pai tem mãos, tem mão direita, tem mão esquerda?	I pópe Tupã-Tuba, i 'ekatuápe, i asupe?
Eu gemo dormindo	Xe keraíb
uns aos outros (sendo muitos)	o îoupé-upé
o batizado	i moîasukypyra
Ele o faz em muito tempo	E'i ymuanĩ ahẽ i monhanga
malha de algodão grossa para a defesa na guerra	amynyîu-aó-poanama
Amam-se muito, por dever, os que se casaram?	Oîoaûsu-katupe amẽ oîopopysykyba'epûera?
Doador de nossa vida	Îandé rekobé me'engara
Resisti-lhe (atacando-o)	Anheran sesé
Que sejamos corajosos, sim, suportando as coisas dolorosas	T'oré pyatã, angá, mba'easy porarábo
Vê bem a tua frente para que não te percas no caminho do céu	Esepîá-katu nde renonderama ybaka piarype nde ropare'ymamo
Levo-o junto de mim	Arasó xe apyri
Ah, quem me dera o tivesse matado!	Aîuká me'ĩmo mã!
A borboleta tornou-se pássaro	Panama onhemogûyrá
Sustituindo suas palavras para os que o ouviram	Ogûenduparûera supé o nhe'enga rekobîarõmo
Eis que eu tenho sede	Xe 'useî ã
muitas chamas de fogo	tatá-endy-etá
A mãe de Deus, a que me ameaça	Tupã sy, xe momburûara
O que me guarda é o habitante do céu	Xe rarõana ybakygûara
Entram grandes espinhos, espetando sua cabeça	Oîké îugûasu i akanga kutuka
Ladroeira, palavras ruins, mentiras sobejavam-te	Mondarõ, nhe'engaíba, mo'ema nde resemõ
Teu poder aquietou este mundo	Nde 'ekatu kó 'ara moapysyki
Alegrai-vos, meus filhos, por minha causa	Pe rory, xe ra'yretá, xe ri
A água transformou em vinho	Y anhẽ monhangi kaûĩnamo
Danei-me	Anhemoaíb
Por quê vocês, maíras e perós, quer dizer, franceses e portugueses, vêm de tão longe procurar madeira para se aquecerem?	Que veut dire que vous autres Mairs et Peros, c'est à dire François et Portugais, veniez de si loin querir du bois pour vous chauffer?
Foi meu pai também	Osó xe ruba béno
Hei de contar os modos de impedi-los	I moarûapaba t'aîmombe'une
monte de terra	yby-atyra
Ele me deixou sem palavras	Xe nhe'ẽmbyk ahẽ
dois e dois no total (isto é, quatro)	mokõ-mokõî syk
Que mau é ele!	Tieté maniîabo a'e!
Que bom que meu próximo tenha coisas boas!	Aûîé ipó xe rapixara mba'e-katuramo
Eu sou aquele em quem se deve acreditar, o que tem nome Guaixará	Ixé serobîarypyra, Gûaîxará seryba'e
Ele comeu demais aquela coisa	O'u-eté-eté ahẽ mba'e
terra levantada	yby-'ama
Eu tenho palavras desatinadas	Xe nhe'engetá
Apenas não me faz morrer	Sa'ĩ na xe momanõî!
Meteu-te pelo pescoço	Nde mondeb o aîurybo
Atravessam suas mãos juntamente com seus pés	Îaîpó-asá-sá i py resebé
nas grandes cabeças deles	i akangusuî
a mim (ou para mim)	Ixé supé
Guardai-vos de inventar impedimentos ao casamento, contando o que não é verdade	Peteumẽ mendara moarupaba mo'anga'upa supindûare'yma mombegûabo
Já fica ansiosa por vê-lo	Omoanhẽ ymã sepîakûama
Fá-los-ei voar comigo	Arobebéne
Faço-o ficar com firmeza	Ten amo'e
Não tem modo de o comer	N'i gûabi
Eu sou antigo filho de Jetuú Criei-me dentro dela	Xe Îetu'u ra'yrûera Anhemonhang i pupé
Esfreguei a pele dele	Aîpi-momemûã
Fiquei-o oprimindo	Aîopyîopyk
Salteio	Aporero'ar
De forma inadequada, certamente, está o regente do canto	Aroane'ym nakó nhe'engaryba rekóû
Em roupas brancas envolveram-no	Aó-tinga pupé i nhubani
Esse homem e sua esposa gastaram todas as suas riquezas	Kó abá semirekó abé opá o mba'e mombabi
O fogo te convém verdadeiramente, para que nele te asses	Tatá nde arõeté, i pupé t'ereîesy
a que amamenta	mokambûara
Eu estou em pé (sem mudar de lugar)	A'amĩ
na cintura	ku'aî
Que pareçam juntar-se como um só	T'oîese'ar-y berame'ĩ oîepekaturamo
Foram terríveis contra os malditos as flechas de São Sebastião, com São Lourenço também	I abaeté muru supé São Sebastião ru'uba, São Lourenço pyri bé
Veio de novo ao lugar em que estavam deitados seus discípulos?	Our benhẽpe o boîá rupápe?
Fiz gaiola para eles	Asokaîmonhang
Diante deles passei	Sobabo akûab
Fico a espojar-me	Anhemonduby-ndubyr
o que vai à roça	kopîasoara
Comeu aquele fruto, causa de morte?	O'u nhẽpe a'e 'ybá, tegûama?
Temos algum remédio como meio de nos curarmos?	Îarekópe mosanga amõ îandé pûerasabamo?
Disseste falsamente que ele disse isso, sendo maledicente?	"""-E'i kó"" eré tenhẽpe nde îuruaíbamo?"
Meu pai foi?	Xe rubape osó?
Tu, em teus braços, Jesus ergueste	Endé, nde îybápe, Îesu eresupi
Brinco	Anhemosaraî
Que se enfraqueça, que amoleça	T'onhemomembek, t'onhemoapapu
Eu tive vertigem (ou eu estou enjoado)	Xe resagûyryb
Em vão o padre quer fazê-la voltar para Deus	E'i tenhẽ abaré Tupã resé serobaka potara'upa
Tua alma é o que tem muito preço	Nde 'anga sepy-etéba'e
Antigamente pescava bem os peixes	Akûeîme rakó pirá asekyî-marangatu
Vivo na mancebia, vivo amancebado	Agûasá pupé aîkó
Eu tenho bafo fedorento	Xe ybĩî-rem
Enquanto eu o levo	Ixé serasó remebé
Caem às vezes os frutos de suas árvores, sendo ainda flores, outras vezes em seu estado verde, outras vezes após amadurecerem caem	Okuî rakó amũme 'ybarambûera o 'yba suí 'ybotyramo oîkóbo bé, amõ rakó ogûakyra pupé i kuî, amõ rakó ogûaîub'iré i kuî
Vou mesmo castigar-te	A'e tenhẽ nde nupãmone
Hoje o matou	Kori i îukáû
daí, desse lugar (que tu dizes)	aîpó suí
Dar de comer aos famintos	Ambyasybora poîa
jazimento de pedras grandes, penedia	itagûasutyba
Lembrai-vos do que se sofre no inferno para que, de modo nenhum, pequeis	Penhemoma'enduá Anhanga ratápe i porarapyra resé ta pe angaîpab umẽngatutenhẽ
rapazes muito fortes	kunumĩûasu-atã-atã
aquele em quem se deve acreditar	serobîarypyra
Benze a gente sua comida?	Osobasápe asé o emi'urama?
vencedora	moroîtykara
Aqueles velhos reis fedorentos?	-Akó tubixanẽmbûera?
Ah, muito bem, ficai tranquilos!	Erĩ, aûîé, peputu'u!
Eu sou Sauiaetá Famoso é meu nome	Ixé Saûîaetá Serapûã xe renoĩndaba
Pintaste-te a boca, sorrindo para os homens?	Ereîeîuru-mopiningype, abá supé epukamirĩamo?
Os padrinhos junto ao padre ou a outra pessoa não podem casar-se com o que batizaram	Abaré koîpó amõ abá pyri morerokarûera nd'e'ikatuî omendá gûemierokûera resé
o que a onça matou, o morto pela onça	îagûara remiîukapûera
Hei de levar esta vasilha	T'arasó kó ygaporaîa
amamentando seu neném	i pitangĩ mokambûabo
Eu estou febril, eu tenho febre	Xe akanunduk
comida dos anjos	apŷabebé remi'u
meus prisioneiros (ie, aqueles que são inferiores a mim e que devem servir-me)	xe rûaîa
Comedor deles, sobram-me sauiás, causa das caçadas	I gûara, îeporakaba, xe resemõ saûîá
Acaso todo o seu intestino caiu pela fissura de sua cintura?	Opakatu serã sygeapûá-kuîamo i ku'a sorokaba rupi?
Calava-se, estando de pé, não respondendo as palavras deles	Opyk o'ama, i nhe'engobaxûare'yma
A seu pai somente o homem obedece?	Og uba anhõpe abá osapîá?
o que é circuncidado	i api'aba'e
Levanto-me	Abyr
Fez Nosso Senhor algum (milagre) diante dele?	Oîmonhangype Îandé Îara amõ sobaké?
Eu estou molhado	Xe akym
Vem para espantar o diabo, para que não me dane	Îori anhanga mondyîa, ta xe momoxy umẽ
São Sebastião também, o que cuidava das guerras, destruiu os tamoios, os valentes	São Sebastião abé, marana rerekoarûera, tamũîa, kyre'ymbagûera, omombab erimba'e
Queimareis em conjunto	Pekaî oîepegûasune
Dormiu demais seu cadáver, estando deitado no lugar em que o puseram?	Okeretápe se'õmbûera o mondebagûerype oupa?
Ah, que atrevido!	Tekatueté mã!
Argumentei contra suas palavras, em vão	Aînhe'engapypyk îepé
Escondo-me bem estando deitado aqui	Aîemĩngatu kó gûitupa
